"date","bsp_at","bsp_be","bsp_es","bsp_fn","bsp_fr","bsp_gr","bsp_ie","bsp_it","bsp_lt","bsp_ma","bsp_nl","bsp_pt","bsp_sk","vol_vix","vol_vstoxx","euribor","stocks_at","stocks_de","stocks_es","stocks_fr","stocks_gr","stocks_ie","stocks_it","stocks_nl","stocks_pt","cds_at","cds_be","cds_cy","cds_de","cds_es","cds_fr","cds_gr","cds_ie","cds_it","cds_nl","cds_dk","cds_ic","cds_sv","cds_uk","cds_us"
2007-01-02,0.0127999999999999,0.0303,0.0217999999999998,-0.0924,0.0177,0.2576,0.0072000000000001,0.248,NA,NA,0.00649999999999995,0.1398,0.2103,11.56,14.68,3.6794,448.14,355.14,761.41,361.06,241.49,817.88,447.14,369.83,138.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-03,0.0169999999999999,0.0333999999999999,0.0164,-0.0901000000000001,0.0238,0.2584,0.0158,0.2552,NA,NA,0.00470000000000015,0.1276,0.182900000000001,12.04,14.73,3.6774,448.84,355.84,762.88,361.01,243.38,808.56,447.91,369.26,138.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-04,0.0108999999999999,0.0322,0.0156999999999998,-0.0879000000000003,0.0183999999999997,0.2492,0.00859999999999994,0.249099999999999,NA,NA,0.00299999999999967,0.1217,0.1966,11.51,15.06,3.6753,446.44,354.72,763.63,358.72,245.45,804.64,445.73,368.51,138.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-05,0.0221000000000005,0.0375000000000001,0.0164000000000004,-0.0935000000000001,0.0291999999999999,0.2668,0.0180000000000002,0.2535,NA,NA,0.00459999999999994,0.1266,0.1928,12.14,16.35,3.6753,440.04,350.8,760.38,355.45,247.24,806.68,443.77,365.45,138.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-08,0.0145999999999997,0.0309999999999997,0.0154999999999994,-0.0921000000000003,0.0225,0.2441,0.0114000000000001,0.241899999999999,NA,NA,0.00649999999999995,0.119899999999999,0.154999999999999,12,16.88,3.6703,437.83,351.59,761.51,355.74,249.19,798.91,443.06,364.9,139.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-09,0.0152999999999999,0.0296000000000003,0.0154000000000005,-0.0951,0.0209000000000001,0.2432,0.0152999999999999,0.242500000000001,NA,NA,0.00740000000000052,0.1197,0.156000000000001,11.91,16.63,3.6662,440.2,352.1,761.57,356.55,248.39,801.56,444.01,367.46,139.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-10,0.0160999999999998,0.0320999999999998,0.0197000000000003,-0.0920000000000001,0.0200000000000005,0.2505,0.0118999999999998,0.2431,NA,NA,0.00900000000000034,0.1189,0.1867,11.47,17.25,3.6622,433.38,349.58,751.8,354.56,244.54,794.89,441.36,364.79,140.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-11,0.0118,0.0272000000000006,0.0198,-0.0946999999999996,0.0171000000000001,0.2277,0.00820000000000043,0.2296,NA,NA,-0.00609999999999999,0.1184,0.2468,10.87,15.05,3.6652,438.93,355.7,762.9,361.23,248.08,795.17,447.25,369.94,141.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-12,0.0165999999999995,0.0324,0.0176999999999996,-0.0920000000000005,0.0221,0.2351,0.0202,0.2379,NA,NA,0.0103,0.1231,0.1709,10.15,14.58,3.6601,441.14,356.64,764.86,361.76,251.36,797.18,448.8,372.29,141.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-15,0.0120999999999993,0.0301999999999998,0.0217000000000001,-0.0949000000000004,0.0168999999999997,0.2428,0.0143999999999993,0.2325,NA,NA,0.00879999999999992,0.117,0.204199999999999,10.15,14.73,3.6601,443.38,358.33,768.08,362.54,251.98,801.75,451.19,374.39,142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-16,0.0129999999999999,0.0324,0.0222999999999995,0.00929999999999964,0.0208999999999993,0.2333,0.0154999999999994,0.2234,NA,NA,0.00819999999999954,0.116099999999999,0.271199999999999,10.74,15.73,3.6642,440,357.57,765.12,359.95,250.32,792.33,449.8,374.64,142.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-01-17,0.0138999999999996,0.0339999999999998,0.0228999999999999,0.0110999999999999,0.0206999999999997,0.221699999999999,0.0156000000000001,0.2181,NA,NA,0.0119999999999996,0.117299999999999,0.228899999999999,10.59,16.1,3.6652,438.63,356.84,761.98,358.52,249.82,791.06,446.42,374.83,143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
