date,TR GERMANY GVT ZERO 10Y - ZERO YIELD,TR FRANCE GVT ZERO 10Y - ZERO YIELD,TR ITALY GVT ZERO 10Y - ZERO YIELD,TR AUSTRIA GVT ZERO 10Y - ZERO YIELD,TR BELGIUM GVT ZERO 10Y - ZERO YIELD,TR GREECE GVT ZERO 10Y - ZERO YIELD,TR IRELAND GVT ZERO 10Y - ZERO YIELD,TR NETHERLANDS GVT ZERO 10Y - ZERO YIELD,TR PORTUGAL GVT ZERO 10Y - ZERO YIELD,TR FINLAND GVT ZERO 10Y - ZERO YIELD,TR LITHUANIA GVT ZERO 10Y - ZERO YIELD,TR MALTA GVT ZERO 10Y - ZERO YIELD,TR SLOVAKIA GVT ZERO 10Y - ZERO YIELD,TR SPAIN GVT ZERO 10Y - ZERO YIELD,CBOE SPX VOLATILITY VIX (NEW) - PRICE INDEX,VSTOXX VOLATILITY INDEX - PRICE INDEX,EURIBOR 1 MONTH (ACT/365) - OFFERED RATE,S&P IRELAND BMI - PRICE INDEX,S&P GERMANY BMI - PRICE INDEX,S&P FRANCE BMI - PRICE INDEX,S&P NETHERLANDS BMI - PRICE INDEX,S&P PORTUGAL BMI - PRICE INDEX,S&P ITALY BMI - PRICE INDEX,S&P GREECE BMI - PRICE INDEX,S&P SPAIN BMI - PRICE INDEX,S&P AUSTRIA BMI - PRICE INDEX,BD GDP CONA,FR GDP (CON) CONA,GR GDP CONA,IR GDP (METHO BREAK Q1 2002) CONN,IR GNP CONN,IT GDP CONA,NL GDP CONA,ES CHAIN-TYPE QTY INDEX OF GDP (CONSTANT) VOLA,ES CHAIN-TYPE QTY INDEX OF GDP (CONSTANT) VOLN,REPUBLIC OF ITALY SNR CR 5Y E - CDS PREM. MID,FEDERAL REP GERMANY SNR CR 5Y E - CDS PREM. MID,REPUBLIC OF PORTUGAL SNR CR 5Y E - CDS PREM. MID,KINGDOM OF SPAIN SNR CR 5Y E - CDS PREM. MID,IRELAND SNR CR 5Y E - CDS PREM. MID,HELLENIC REPUBLIC SNR CR 5Y E - CDS PREM. MID,REPUBLIC OF AUSTRIA SNR CR 5Y E - CDS PREM. MID,KINGDOM OF BELGIUM SNR CR 5Y E - CDS PREM. MID,FRENCH REPUBLIC SNR CR 5Y E - CDS PREM. MID,REPUBLIC OF CYPRUS SNR CR 5Y E - CDS PREM. MID,KINGDOM OF NL SNR CR 5Y E - CDS PREM. MID,GREECE SEN 5YR CDS - CDS PREM. MID,REPUBLIC OF ITALY SNR CR 5Y E - CDS PREM. MID,FEDERAL REP GERMANY SNR CR 5Y E - CDS PREM. MID,REPUBLIC OF PORTUGAL SNR CR 5Y E - CDS PREM. MID,KINGDOM OF SPAIN SNR CR 5Y E - CDS PREM. MID,IRELAND SNR CR 5Y E - CDS PREM. MID,HELLENIC REPUBLIC SNR CR 5Y E - CDS PREM. MID,REPUBLIC OF AUSTRIA SNR CR 5Y E - CDS PREM. MID,"BANCO SANTANDER, SA SNR CR 5Y E - CDS PREM. MID",KINGDOM OF BELGIUM SNR CR 5Y E - CDS PREM. MID,FRENCH REPUBLIC SNR CR 5Y E - CDS PREM. MID,KINGDOM OF SWEDEN SNR CR 5Y E - CDS PREM. MID,UK AND NI SNR CR 5Y E - CDS PREM. MID,US DEPT OF TRSY SNR CR 5Y E - CDS PREM. MID,KINGDOM OF DENMARK SNR CR 5Y E - CDS PREM. MID,REPUBLIC OF CYPRUS SNR CR 5Y E - CDS PREM. MID,REPUBLIC OF ICELAND SNR CR 5Y E - CDS PREM. MID,KINGDOM OF NL SNR CR 5Y E - CDS PREM. MID
30/12/2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.07,14.48,2.4343,638.118,289.272,300.009,312.426,108.7,378.272,195.209,570.006,359.361,615.97,487800.3,59956.1,43225,36601,412758.42,151031.5,97.3402,95.3652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
02/01/2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.07,14.36,2.4323,638.352,291.614,302.442,315.203,108.41,380.704,195.375,572.449,360.979,625.83,492958,60067.3,43798,37363,415011.19,153249.7,98.3544,99.7986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
03/01/2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.14,14.31,2.4313,645.21,292.591,304.018,315.525,109.65,382.672,198.104,574.463,364.18,631.95,492916,60679.1,44138,36921,416518.02,154142.8,99.3282,96.7275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
04/01/2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.37,13.95,2.4262,650.499,295.804,307.718,317.741,110.42,385.482,200.575,578.683,368.15,640.19,496773,62246.7,44851,39293,420891.94,155423.4,100.2693,103.4007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
05/01/2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.31,14.14,2.4231,648.339,295.401,307.505,316.56,110.58,383.542,201.311,579.873,369.376,643.07,500152,61657.3,46897,39009,422495.77,157066.1,101.2963,99.0973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
06/01/2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,13.73,2.4201,650.141,296.522,309.407,318.371,110.73,386.333,201.319,579.873,369.394,647.77,503428,63386.9,46159,38216,422353.36,157735.6,102.1182,103.5265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
09/01/2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.13,14.36,2.4221,653.147,296.742,309.991,320.088,112.22,384.9,202.433,582.246,373.082,653.12,505478,63312.3,45266,38528,421812.86,159733.8,102.9432,100.1902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10/01/2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.86,14.51,2.4191,645.201,294.785,309.161,316.783,111.68,384.017,204.641,577.66,370.766,655.18,506894,62810.4,47446,40274,421093.38,162003.7,103.8326,107.3763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/01/2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.94,13.98,2.4242,652.675,297,310.981,318.637,112.81,387.929,206.436,582.673,371.441,660.41,509287,63277.4,46660,39606,424943.44,161917.7,104.304,101.4392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12/01/2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.2,13.65,2.4292,656.144,297.702,311.469,319.253,111.71,388.891,206.585,582.397,374.194,659,506483,62766.2,45629,38298,421755.13,162506.1,104.3608,105.6033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13/01/2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.23,14.39,2.4221,656.716,294.967,309.174,314.82,112.01,384.874,206.533,576.955,371.21,656.36,504984,62367.7,45807,37905,416301.75,162069.8,103.5755,101.3977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16/01/2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.23,14.25,2.4201,658.25,296.731,309.828,315.083,112.25,388.381,209.483,579.951,374.109,643.54,497034,61655.7,43655,37424,406693.13,160856.7,102.5274,106.3276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17/01/2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.91,15.25,2.4191,656.492,294.178,307.092,312.458,111.72,385.891,210.122,575.281,372.131,614.69,489172,58785,43735,36142,394421.91,155523.1,100.8896,97.5149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18/01/2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.25,15.81,2.4181,650.711,291,304.943,309.456,110.93,382.719,207.331,570.28,369.575,615.46,488780.3,60321.4,43262,35251,392851.58,155237.2,99.9123,101.1451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19/01/2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.98,15.43,2.4191,650.089,293.185,307.682,311.615,110.58,383.555,211.188,576.217,374.69,618.81,489459,60066.8,42708,34652,395128.13,155673.7,99.6028,97.7675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20/01/2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.56,16,2.4201,646.259,289.302,305.38,308.585,110.26,379.669,212.562,571.794,376.231,624.22,492764,59990.1,41798,34987,395443.43,156534.2,99.54,103.5172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
