"date","country","bsp","cds","euribor","stocks","vix","vstoxx","greece_a","ireland_a","portugal_a","spain_a","crisis_a","crisis_b_2","crisis_b_1.5"
2007-01-02,"all",NA,NA,3.6794,NA,11.56,14.68,0,0,0,0,0,NA,NA
2007-01-03,"all",NA,NA,3.6774,NA,12.04,14.73,0,0,0,0,0,NA,NA
2007-01-04,"all",NA,NA,3.6753,NA,11.51,15.06,0,0,0,0,0,NA,NA
2007-01-05,"all",NA,NA,3.6753,NA,12.14,16.35,0,0,0,0,0,NA,NA
2007-01-08,"all",NA,NA,3.6703,NA,12,16.88,0,0,0,0,0,NA,NA
2007-01-09,"all",NA,NA,3.6662,NA,11.91,16.63,0,0,0,0,0,NA,NA
2007-01-10,"all",NA,NA,3.6622,NA,11.47,17.25,0,0,0,0,0,NA,NA
2007-01-11,"all",NA,NA,3.6652,NA,10.87,15.05,0,0,0,0,0,NA,NA
2007-01-12,"all",NA,NA,3.6601,NA,10.15,14.58,0,0,0,0,0,NA,NA
2007-01-15,"all",NA,NA,3.6601,NA,10.15,14.73,0,0,0,0,0,NA,NA
2007-01-16,"all",NA,NA,3.6642,NA,10.74,15.73,0,0,0,0,0,NA,NA
2007-01-17,"all",NA,NA,3.6652,NA,10.59,16.1,0,0,0,0,0,NA,NA
2007-01-18,"all",NA,NA,3.6622,NA,10.85,16.25,0,0,0,0,0,NA,NA
2007-01-19,"all",NA,NA,3.6632,NA,10.4,14.95,0,0,0,0,0,NA,NA
2007-01-22,"all",NA,NA,3.6632,NA,10.77,16.02,0,0,0,0,0,NA,NA
2007-01-23,"all",NA,NA,3.6632,NA,10.34,16.01,0,0,0,0,0,NA,NA
2007-01-24,"all",NA,NA,3.6632,NA,9.89,14.84,0,0,0,0,0,NA,NA
2007-01-25,"all",NA,NA,3.6632,NA,11.22,15.38,0,0,0,0,0,NA,NA
2007-01-26,"all",NA,NA,3.6642,NA,11.13,15.83,0,0,0,0,0,NA,NA
2007-01-29,"all",NA,NA,3.6642,NA,11.45,16.12,0,0,0,0,0,NA,NA
2007-01-30,"all",NA,NA,3.6642,NA,10.96,15.17,0,0,0,0,0,NA,NA
2007-01-31,"all",NA,NA,3.6632,NA,10.42,15.92,0,0,0,0,0,NA,NA
2007-02-01,"all",NA,NA,3.6591,NA,10.31,15.13,0,0,0,0,0,NA,NA
2007-02-02,"all",NA,NA,3.6591,NA,10.08,14.14,0,0,0,0,0,NA,NA
2007-02-05,"all",NA,NA,3.6571,NA,10.55,14.36,0,0,0,0,0,NA,NA
2007-02-06,"all",NA,NA,3.6571,NA,10.65,14.41,0,0,0,0,0,NA,NA
2007-02-07,"all",NA,NA,3.6571,NA,10.32,13.97,0,0,0,0,0,NA,NA
2007-02-08,"all",NA,NA,3.6561,NA,10.44,14.26,0,0,0,0,0,NA,NA
2007-02-09,"all",NA,NA,3.6561,NA,11.1,13.92,0,0,0,0,0,NA,NA
2007-02-12,"all",NA,NA,3.6571,NA,11.61,15.11,0,0,0,0,0,NA,NA
2007-02-13,"all",NA,NA,3.6612,NA,10.34,14.71,0,0,0,0,0,NA,NA
2007-02-14,"all",NA,NA,3.6652,NA,10.23,13.91,0,0,0,0,0,NA,NA
2007-02-15,"all",NA,NA,3.6906,NA,10.22,13.83,0,0,0,0,0,NA,NA
2007-02-16,"all",NA,NA,3.7007,NA,10.02,13.45,0,0,0,0,0,NA,NA
2007-02-19,"all",NA,NA,3.7088,NA,10.02,13.41,0,0,0,0,0,NA,NA
2007-02-20,"all",NA,NA,3.72,NA,10.24,13.74,0,0,0,0,0,NA,NA
2007-02-21,"all",NA,NA,3.7301,NA,10.2,14.19,0,0,0,0,0,NA,NA
2007-02-22,"all",NA,NA,3.7544,NA,10.18,13.87,0,0,0,0,0,NA,NA
2007-02-23,"all",NA,NA,3.7636,NA,10.58,13.74,0,0,0,0,0,NA,NA
2007-02-26,"all",NA,NA,3.7838,NA,11.15,13.79,0,0,0,0,0,NA,NA
2007-02-27,"all",NA,NA,3.797,NA,18.31,17.73,0,0,0,0,0,NA,NA
2007-02-28,"all",NA,NA,3.8021,NA,15.42,19.5,0,0,0,0,0,NA,NA
2007-03-01,"all",NA,NA,3.8234,NA,15.82,20.01,0,0,0,0,0,NA,NA
2007-03-02,"all",NA,NA,3.8386,NA,18.61,20.3,0,0,0,0,0,NA,NA
2007-03-05,"all",NA,NA,3.8457,NA,19.63,21.8,0,0,0,0,0,NA,NA
2007-03-06,"all",NA,NA,3.8558,NA,15.96,20.36,0,0,0,0,0,NA,NA
2007-03-07,"all",NA,NA,3.8609,NA,15.24,19.43,0,0,0,0,0,NA,NA
2007-03-08,"all",NA,NA,3.8923,NA,14.29,18.15,0,0,0,0,0,NA,NA
2007-03-09,"all",NA,NA,3.8994,NA,14.09,18.07,0,0,0,0,0,NA,NA
2007-03-12,"all",NA,NA,3.9085,NA,13.99,19.25,0,0,0,0,0,NA,NA
2007-03-13,"all",NA,NA,3.9096,NA,18.13,20.48,0,0,0,0,0,NA,NA
2007-03-14,"all",NA,NA,3.9085,NA,17.27,23.53,0,0,0,0,0,NA,NA
2007-03-15,"all",NA,NA,3.9096,NA,16.43,21.68,0,0,0,0,0,NA,NA
2007-03-16,"all",NA,NA,3.9156,NA,16.79,21.08,0,0,0,0,0,NA,NA
2007-03-19,"all",NA,NA,3.9167,NA,14.59,19.82,0,0,0,0,0,NA,NA
2007-03-20,"all",NA,NA,3.9167,NA,13.27,18.82,0,0,0,0,0,NA,NA
2007-03-21,"all",NA,NA,3.9177,NA,12.19,18.79,0,0,0,0,0,NA,NA
2007-03-22,"all",NA,NA,3.9156,NA,12.93,17.38,0,0,0,0,0,NA,NA
2007-03-23,"all",NA,NA,3.9167,NA,12.95,17.06,0,0,0,0,0,NA,NA
