"date","country","yield"
2015-05-01,"AT",0.73
2015-04-01,"AT",0.29
2015-03-01,"AT",0.37
2015-02-01,"AT",0.44
2015-01-01,"AT",0.54
2014-12-01,"AT",0.81
2014-11-01,"AT",0.98
2014-10-01,"AT",1.1
2014-09-01,"AT",1.22
2014-08-01,"AT",1.28
2014-07-01,"AT",1.47
2014-06-01,"AT",1.65
2014-05-01,"AT",1.62
2014-04-01,"AT",1.77
2014-03-01,"AT",1.87
2014-02-01,"AT",1.95
2014-01-01,"AT",2.13
2013-12-01,"AT",2.17
2013-11-01,"AT",2.08
2013-10-01,"AT",2.19
2013-09-01,"AT",2.34
2013-08-01,"AT",2.22
2013-07-01,"AT",2.06
2013-06-01,"AT",2.04
2013-05-01,"AT",1.75
2013-04-01,"AT",1.64
2013-03-01,"AT",1.75
2013-02-01,"AT",1.96
2013-01-01,"AT",1.92
2012-12-01,"AT",1.77
2012-11-01,"AT",1.85
2012-10-01,"AT",2.02
2012-09-01,"AT",2.04
2012-08-01,"AT",1.97
2012-07-01,"AT",2.07
2012-06-01,"AT",2.29
2012-05-01,"AT",2.49
2012-04-01,"AT",2.83
2012-03-01,"AT",2.87
2012-02-01,"AT",3
2012-01-01,"AT",3.27
2011-12-01,"AT",3.1
2011-11-01,"AT",3.36
2011-10-01,"AT",2.92
2011-09-01,"AT",2.64
2011-08-01,"AT",2.84
2011-07-01,"AT",3.35
2011-06-01,"AT",3.43
2011-05-01,"AT",3.53
2011-04-01,"AT",3.76
2011-03-01,"AT",3.68
2011-02-01,"AT",3.68
2011-01-01,"AT",3.54
2010-12-01,"AT",3.43
2010-11-01,"AT",3.01
2010-10-01,"AT",2.82
2010-09-01,"AT",2.8
2010-08-01,"AT",2.77
2010-07-01,"AT",3.07
2010-06-01,"AT",3.2
2010-05-01,"AT",3.21
2010-04-01,"AT",3.46
2010-03-01,"AT",3.53
2010-02-01,"AT",3.66
2010-01-01,"AT",3.75
2009-12-01,"AT",3.61
2009-11-01,"AT",3.6
2009-10-01,"AT",3.65
2009-09-01,"AT",3.75
2009-08-01,"AT",3.76
2009-07-01,"AT",4.04
2009-06-01,"AT",4.32
2009-05-01,"AT",4.1
2009-04-01,"AT",4.04
2009-03-01,"AT",4.16
2009-02-01,"AT",4.21
2009-01-01,"AT",4
2008-12-01,"AT",3.9
2008-11-01,"AT",4.19
2008-10-01,"AT",4.33
2008-09-01,"AT",4.46
2008-08-01,"AT",4.48
2008-07-01,"AT",4.78
2008-06-01,"AT",4.8
2008-05-01,"AT",4.48
2008-04-01,"AT",4.34
2008-03-01,"AT",4.14
2008-02-01,"AT",4.18
2008-01-01,"AT",4.22
2007-12-01,"AT",4.35
2007-11-01,"AT",4.21
2007-10-01,"AT",4.4
2007-09-01,"AT",4.33
2007-08-01,"AT",4.38
2007-07-01,"AT",4.59
2007-06-01,"AT",4.63
2007-05-01,"AT",4.33
2007-04-01,"AT",4.21
2007-03-01,"AT",3.99
2007-02-01,"AT",4.09
2007-01-01,"AT",4.06
2006-12-01,"AT",3.81
2006-11-01,"AT",3.76
2006-10-01,"AT",3.83
2006-09-01,"AT",3.79
2006-08-01,"AT",3.92
2006-07-01,"AT",4.05
2006-06-01,"AT",4.03
2006-05-01,"AT",4.03
2006-04-01,"AT",3.92
2006-03-01,"AT",3.65
2006-02-01,"AT",3.48
2006-01-01,"AT",3.33
2005-12-01,"AT",3.36
2005-11-01,"AT",3.48
2005-10-01,"AT",3.27
2005-09-01,"AT",3.12
2005-08-01,"AT",3.28
2005-07-01,"AT",3.27
2005-06-01,"AT",3.23
2005-05-01,"AT",3.41
2005-04-01,"AT",3.5
2005-03-01,"AT",3.7
2005-02-01,"AT",3.55
2005-01-01,"AT",3.56
2004-12-01,"AT",3.63
2004-11-01,"AT",3.84
2004-10-01,"AT",3.97
2004-09-01,"AT",4.09
2004-08-01,"AT",4.15
2004-07-01,"AT",4.31
2004-06-01,"AT",4.42
2004-05-01,"AT",4.37
2004-04-01,"AT",4.24
2004-03-01,"AT",4.05
2004-02-01,"AT",4.23
2004-01-01,"AT",4.27
2003-12-01,"AT",4.38
2003-11-01,"AT",4.44
2003-10-01,"AT",4.32
2003-09-01,"AT",4.24
2003-08-01,"AT",4.22
2003-07-01,"AT",4.06
2003-06-01,"AT",3.76
2003-05-01,"AT",3.85
2003-04-01,"AT",4.16
2003-03-01,"AT",4.03
2003-02-01,"AT",4.01
2003-01-01,"AT",4.22
2002-12-01,"AT",4.43
2002-11-01,"AT",4.62
2002-10-01,"AT",4.64
2002-09-01,"AT",4.57
2002-08-01,"AT",4.77
2002-07-01,"AT",5.06
2002-06-01,"AT",5.22
2002-05-01,"AT",5.37
2002-04-01,"AT",5.35
2002-03-01,"AT",5.36
2002-02-01,"AT",5.12
2002-01-01,"AT",5.06
2001-12-01,"AT",4.95
2001-11-01,"AT",4.7
2001-10-01,"AT",4.85
2001-09-01,"AT",5.08
2001-08-01,"AT",5.1
2001-07-01,"AT",5.29
2001-06-01,"AT",5.27
2001-05-01,"AT",5.34
2001-04-01,"AT",5.16
2001-03-01,"AT",5.01
2001-02-01,"AT",5.1
2001-01-01,"AT",5.1
2000-12-01,"AT",5.21
2000-11-01,"AT",5.46
2000-10-01,"AT",5.52
2000-09-01,"AT",5.57
2000-08-01,"AT",5.54
2000-07-01,"AT",5.6
2000-06-01,"AT",5.52
2000-05-01,"AT",5.66
2000-04-01,"AT",5.49
2000-03-01,"AT",5.59
2000-02-01,"AT",5.77
2000-01-01,"AT",5.75
1999-12-01,"AT",5.35
1999-11-01,"AT",5.27
1999-10-01,"AT",5.53
1999-09-01,"AT",5.27
1999-08-01,"AT",5.1
1999-07-01,"AT",4.87
1999-06-01,"AT",4.54
1999-05-01,"AT",4.21
1999-04-01,"AT",4.03
1999-03-01,"AT",4.16
1999-02-01,"AT",3.98
1999-01-01,"AT",3.84
1998-12-01,"AT",4.05
1998-11-01,"AT",4.33
1998-10-01,"AT",4.3
1998-09-01,"AT",4.31
1998-08-01,"AT",4.62
1998-07-01,"AT",4.83
1998-06-01,"AT",4.89
1998-05-01,"AT",5.03
1998-04-01,"AT",4.97
1998-03-01,"AT",4.97
1998-02-01,"AT",5.07
1998-01-01,"AT",5.19
1997-12-01,"AT",5.4
1997-11-01,"AT",5.63
1997-10-01,"AT",5.62
1997-09-01,"AT",5.63
1997-08-01,"AT",5.7
1997-07-01,"AT",5.61
1997-06-01,"AT",5.78
1997-05-01,"AT",5.79
1997-04-01,"AT",5.9
1997-03-01,"AT",5.71
1997-02-01,"AT",5.58
1997-01-01,"AT",5.84
1996-12-01,"AT",5.86
1996-11-01,"AT",5.95
1996-10-01,"AT",6.06
1996-09-01,"AT",6.3
1996-08-01,"AT",6.41
1996-07-01,"AT",6.58
1996-06-01,"AT",6.63
1996-05-01,"AT",6.45
1996-04-01,"AT",6.43
1996-03-01,"AT",6.55
1996-02-01,"AT",6.44
1996-01-01,"AT",6.21
1995-12-01,"AT",6.47
1995-11-01,"AT",6.76
1995-10-01,"AT",6.96
1995-09-01,"AT",6.88
1995-08-01,"AT",7
1995-07-01,"AT",7.11
1995-06-01,"AT",7.05
1995-05-01,"AT",7.13
1995-04-01,"AT",7.37
1995-03-01,"AT",7.51
1995-02-01,"AT",7.65
1995-01-01,"AT",7.72
1994-12-01,"AT",7.63
1994-11-01,"AT",7.72
1994-10-01,"AT",7.69
1994-09-01,"AT",7.57
1994-08-01,"AT",7.2
1994-07-01,"AT",7.12
1994-06-01,"AT",7.41
1994-05-01,"AT",6.97
1994-04-01,"AT",6.67
1994-03-01,"AT",6.45
1994-02-01,"AT",6.06
1994-01-01,"AT",5.81
1993-12-01,"AT",6.04
1993-11-01,"AT",6.18
1993-10-01,"AT",6.26
1993-09-01,"AT",6.44
1993-08-01,"AT",6.6
1993-07-01,"AT",6.75
1993-06-01,"AT",6.99
1993-05-01,"AT",7.06
1993-04-01,"AT",6.93
1993-03-01,"AT",6.86
1993-02-01,"AT",7.13
1993-01-01,"AT",7.22
2015-05-01,"BE",0.86
2015-04-01,"BE",0.42
2015-03-01,"BE",0.49
2015-02-01,"BE",0.63
2015-01-01,"BE",0.73
2014-12-01,"BE",0.91
2014-11-01,"BE",1.07
2014-10-01,"BE",1.18
2014-09-01,"BE",1.3
2014-08-01,"BE",1.4
2014-07-01,"BE",1.61
2014-06-01,"BE",1.83
2014-05-01,"BE",1.99
2014-04-01,"BE",2.16
2014-03-01,"BE",2.26
2014-02-01,"BE",2.4
2014-01-01,"BE",2.45
2013-12-01,"BE",2.43
2013-11-01,"BE",2.42
2013-10-01,"BE",2.57
