"date","country","bsp","cds","stocks","greece_a","ireland_a","portugal_a","spain_a","crisis_a","es_b_1.5","fr_b_1.5","gr_b_1.5","ie_b_1.5","it_b_1.5","nl_b_1.5","pt_b_1.5","es_b_2","fr_b_2","gr_b_2","ie_b_2","it_b_2","nl_b_2","pt_b_2","euribor","dvix","dvstoxx"
2007-01-02,"es",0.0217999999999998,NA,761.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
2007-01-03,"es",0.0164,NA,762.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2783,0.0406835766364435,0.00340020728816937
2007-01-04,"es",0.0156999999999998,NA,763.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2912,-0.0450182171468834,0.0221559918972085
2007-01-05,"es",0.0164000000000004,NA,760.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2785,0.0532895628975609,0.0821856749715151
2007-01-08,"es",0.0154999999999994,NA,761.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3192,-0.011599135843352,0.0319015918245484
2007-01-09,"es",0.0154000000000005,NA,761.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3277,-0.00752826642079141,-0.0149211959629749
2007-01-10,"es",0.0197000000000003,NA,751.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3602,-0.0376434522259297,0.0366038502725328
2007-01-11,"es",0.0198,NA,762.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3767,-0.0537282300081614,-0.136434152282484
2007-01-12,"es",0.0176999999999996,NA,764.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3776,-0.0685329956453216,-0.0317272646143727
2007-01-15,"es",0.0217000000000001,NA,768.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4255,0,0.0102355038940267
2007-01-16,"es",0.0222999999999995,NA,765.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4217,0.0565013835929222,0.0656834865956473
2007-01-17,"es",0.0228999999999999,NA,761.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4004,-0.0140649294674033,0.023249554920231
2007-01-18,"es",0.0318999999999994,NA,761.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3968,0.0242549203731532,0.00927363678532922
2007-01-19,"es",0.0227999999999993,NA,767.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4253,-0.0423592738391414,-0.0833816089390509
2007-01-22,"es",0.0229999999999997,NA,765.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.410200000000001,0.0349586850209702,0.0691266418035177
2007-01-23,"es",0.0199000000000007,NA,765.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3878,-0.0407446220880141,-0.000624414631589687
2007-01-24,"es",0.0275999999999996,NA,774.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3838,-0.0444957234456624,-0.0758872892693891
2007-01-25,"es",0.0164,NA,774.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3997,0.12617375445993,0.0357417263382636
2007-01-26,"es",0.0214999999999996,NA,768.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4314,-0.00805373480709681,0.0288389098154229
2007-01-29,"es",0.0229999999999997,NA,773.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4528,0.028345564712795,0.0181538631855616
2007-01-30,"es",0.0274999999999999,NA,775.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4828,-0.0437374484803792,-0.0607409437180415
2007-01-31,"es",0.00750000000000028,NA,775.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4725,-0.0505252451946485,0.0482563870557962
2007-02-01,"es",0.0107999999999997,NA,777.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.465,-0.0106127382963521,-0.0508966526159726
2007-02-02,"es",0.0210999999999997,NA,780.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4608,-0.0225610353856465,-0.0676718673318377
2007-02-05,"es",0.0211999999999994,NA,780.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4388,0.045572597278853,0.0154389031516513
2007-02-06,"es",0.0307000000000004,NA,785.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.411,0.00943403223335881,0.0034758463913529
2007-02-07,"es",0.0278,NA,792.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3998,-0.0314761321020174,-0.0310102367425604
2007-02-08,"es",0.0208000000000004,NA,791.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3996,0.0115608224010759,0.0205462417172795
2007-02-09,"es",0.0235000000000003,NA,793.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4168,0.0613005258637958,-0.0241317600798765
2007-02-12,"es",0.0213000000000001,NA,788.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4563,0.0449216873915117,0.0820301213783745
2007-02-13,"es",0.0205000000000002,NA,792.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4802,-0.115846926629517,-0.0268292416713019
2007-02-14,"es",0.0196000000000005,NA,796.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4914,-0.010695289116748,-0.0559195286779945
2007-02-15,"es",0.0289999999999999,NA,795.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4625,-0.000977995187976699,-0.00576786025868481
2007-02-16,"es",0.0218000000000007,NA,793.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3842,-0.0197634891188398,-0.0278610396288186
2007-02-19,"es",0.0226000000000006,NA,797.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3764,0,-0.00297840875426125
2007-02-20,"es",0.0392999999999999,NA,796.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3843,0.0217185239546431,0.0243105895006162
2007-02-21,"es",0.0273000000000003,NA,791.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3688,-0.0039138993211365,0.0322262043777481
2007-02-22,"es",0.0224000000000002,NA,790.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.345899999999999,-0.00196270916784869,-0.022809256845211
2007-02-23,"es",0.0214999999999996,NA,789.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3584,0.0385404153077769,-0.00941694753253719
2007-02-26,"es",0.0275999999999996,NA,794.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3122,0.0524740714759746,0.00363240501100748
2007-02-27,"es",0.0345000000000004,NA,770.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2382,0.496007860780291,0.251314428280906
2007-02-28,"es",0.0387,NA,761.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1928,-0.171781990551236,0.0951563454835842
2007-03-01,"es",0.0263999999999998,NA,751.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1847,0.0256095942043246,0.0258176830259411
2007-03-02,"es",0.0347,NA,746.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1541,0.162424108314652,0.0143887374520997
2007-03-05,"es",0.0299,NA,734.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1268,0.0533599376342102,0.0712890837473017
2007-03-06,"es",0.0303,NA,738.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0954000000000002,-0.206973416266707,-0.0683377781127215
2007-03-07,"es",0.0400999999999998,NA,743.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0872999999999999,-0.0461620417631625,-0.0467539282929734
2007-03-08,"es",0.0344000000000002,NA,758.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0834000000000001,-0.0643635583167241,-0.0681477026784889
2007-03-09,"es",0.0315000000000003,NA,761.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0627999999999997,-0.0140946660311871,-0.00441745610672228
2007-03-12,"es",0.0257000000000001,NA,755.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0766,-0.00712253723319911,0.063257956129656
2007-03-13,"es",0.0486,NA,747.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0497000000000001,0.25922523608937,0.0619377394375138
2007-03-14,"es",0.0373000000000001,NA,726.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0116999999999998,-0.0485971326081724,0.138827402567964
2007-03-15,"es",0.0341,NA,744.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000700000000000145,-0.0498619601094101,-0.0818860261678256
2007-03-16,"es",0.0393000000000003,NA,747.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0147999999999997,0.0216745390402724,-0.028065452898284
2007-03-19,"es",0.0404,NA,761.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00959999999999983,-0.140447108554755,-0.0616331947713196
2007-03-20,"es",0.0363000000000002,NA,765.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.028,-0.0948305141905781,-0.0517713947446081
2007-03-21,"es",0.0467,NA,765.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0143999999999997,-0.0848899048509359,-0.00159532073185975
2007-03-22,"es",0.0310999999999999,NA,774.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0205000000000002,0.0589342492905858,-0.0780046935881282
2007-03-23,"es",0.0418000000000003,NA,777.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0529999999999999,0.00154559536178045,-0.0185835777737129
2007-03-26,"es",0.0314999999999994,NA,771.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.102,0.0160861377516248,0.112428095674123
2007-03-27,"es",0.0363999999999995,NA,775.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1123,0.0240251795869897,-0.019038121281659
2007-03-28,"es",0.0293999999999999,NA,773.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1275,0.105508872604912,0.0550502431584774
2007-03-29,"es",0.0315000000000003,NA,779.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.140600000000001,0.0106242699202297,-0.0771834003684901
2007-03-30,"es",0.0545,NA,781.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1628,-0.0335827394761372,-0.0435093723019473
2007-04-02,"es",0.0190999999999999,NA,785.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1636,-0.00754203095097417,0.00964546485070539
