date,"Austria, Euro","Belgium, Euro","Cyprus, Euro","Germany, Euro","Spain, Euro","Finland, Euro","France, Euro","United Kingdom (GB), UK pound sterling","Greece (GR), Euro","Ireland, Euro","Italy, Euro","Lithuania, Euro","Luxembourg, Euro","Latvia, Euro","Malta, Euro","Netherlands, Euro","Portugal, Euro","Slovenia, Euro","Slovakia, Euro"
2015May,0.73,0.86,6,0.56,1.78,0.72,0.89,1.94,10.95,1.25,1.81,0.99,0.42,0.84,1.5,0.75,2.41,1.59,0.74
2015Apr,0.29,0.42,6,0.12,1.31,0.27,0.44,1.65,12,0.73,1.36,0.58,0.06,0.42,1.15,0.31,1.87,1.06,1.18
2015Mar,0.37,0.49,6,0.23,1.23,0.39,0.51,1.59,10.52,0.8,1.29,1.11,0.16,0.56,1.31,0.33,1.74,0.99,1.19
2015Feb,0.44,0.63,6,0.3,1.52,0.48,0.6,1.59,9.72,1.12,1.56,1.2,0.4,0.78,1.5,0.42,2.32,1.32,1.21
2015Jan,0.54,0.73,6,0.39,1.54,0.62,0.67,1.21,9.48,1.22,1.7,1.66,0.47,1.1,1.69,0.52,2.49,1.75,1.22
2014Dec,0.81,0.91,6,0.59,1.78,0.89,0.92,1.52,8.42,1.31,1.99,1.9,0.65,1.63,1.94,0.78,2.81,2.11,1.22
2014Nov,0.98,1.07,6,0.72,2.07,0.9,1.14,1.72,8.1,1.58,2.29,2.17,0.75,1.77,2.11,0.93,3.13,2.54,1.38
2014Oct,1.1,1.18,6,0.79,2.12,1.01,1.26,1.82,7.26,1.74,2.42,2.27,0.87,2.18,2.18,1.03,3.21,2.63,1.39
2014Sep,1.22,1.3,6,0.92,2.2,1.13,1.35,2.08,5.89,1.75,2.4,2.42,0.98,2.28,2.32,1.15,3.18,2.66,1.57
2014Aug,1.28,1.4,6,0.95,2.41,1.18,1.41,2.12,6.09,2.02,2.63,2.61,1.08,2.35,2.49,1.2,3.47,3.09,1.81
2014Jul,1.47,1.61,6,1.11,2.68,1.36,1.56,2.31,6.1,2.28,2.79,2.9,1.26,2.4,2.66,1.41,3.69,3.16,2.07
2014Jun,1.65,1.83,6,1.26,2.72,1.57,1.71,2.35,5.93,2.44,2.92,2.92,1.44,2.53,2.9,1.6,3.5,3.13,2.73
2014May,1.62,1.99,6,1.33,2.93,1.69,1.84,2.27,6.38,2.71,3.12,2.98,1.57,2.74,2.78,1.7,3.66,3.39,2.73
2014Apr,1.77,2.16,6,1.46,3.11,1.84,2.03,2.3,6.2,2.9,3.23,3.26,1.71,2.8,2.93,1.85,3.82,3.52,2.47
2014Mar,1.87,2.26,6,1.51,3.31,1.91,2.15,2.34,6.9,3.05,3.4,3.33,1.8,2.87,3.02,1.81,4.43,3.85,2.47
2014Feb,1.95,2.4,6,1.56,3.56,1.92,2.25,2.37,7.7,3.24,3.65,3.33,1.87,3.07,2.96,1.89,4.94,4.43,2.48
2014Jan,2.13,2.45,6,1.76,3.79,1.99,2.38,2.48,8.18,3.39,3.87,3.42,2.06,3.48,3.05,2.09,5.21,4.73,2.53
2013Dec,2.17,2.43,6,1.8,4.13,2.03,2.33,2.5,8.66,3.48,4.11,3.69,2.1,3.62,3.19,2.16,6.04,5.27,2.69
2013Nov,2.08,2.42,6,1.68,4.1,1.94,2.27,2.31,8.41,3.53,4.1,3.99,2.01,3.71,3.18,2.06,5.98,5.91,3.15
2013Oct,2.19,2.57,6,1.76,4.22,2.04,2.39,2.26,8.74,3.65,4.25,4.01,2.14,3.78,3.25,2.18,6.33,6.47,3.15
2013Sep,2.34,2.75,6,1.89,4.42,2.19,2.49,2.44,10.15,3.95,4.54,3.89,2.27,3.45,3.28,2.32,7.06,6.56,3.15
2013Aug,2.22,2.65,6,1.73,4.5,2.07,2.36,2.29,10.01,3.92,4.42,3.65,2.2,3.25,3.23,2.2,6.6,6.51,3.15
2013Jul,2.06,2.54,6,1.56,4.67,1.91,2.25,2.09,10.53,3.88,4.42,3.54,2.02,3.25,3.21,2.03,6.87,6.58,3.15
2013Jun,2.04,2.44,7,1.53,4.67,1.88,2.21,1.96,10.07,4.02,4.38,3.54,1.76,3.17,3.35,2,6.3,6.38,2.45
2013May,1.75,2.06,7,1.29,4.25,1.6,1.87,1.62,9.07,3.48,3.96,3.54,1.47,3.1,3.31,1.69,5.46,5.35,2.52
2013Apr,1.64,2.04,7,1.2,4.59,1.51,1.8,1.46,11.58,3.78,4.28,3.95,1.41,3.15,3.37,1.66,6.15,5.93,3.01
2013Mar,1.75,2.25,7,1.35,4.92,1.61,2.07,1.65,11.38,3.83,4.64,4.15,1.55,3.17,3.56,1.67,6.1,5.09,3.95
2013Feb,1.96,2.46,7,1.54,5.22,1.81,2.24,1.92,10.95,3.78,4.49,4.06,1.69,3.22,3.69,1.83,6.4,4.88,3.95
2013Jan,1.92,2.31,7,1.51,5.05,1.75,2.17,1.82,11.1,4.18,4.21,3.97,1.6,3.21,3.73,1.74,6.24,4.81,3.93
